stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,4.09,0,0,0,0,0,506.71,0,4.09,8.17,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,200.05,34.23,497.45,22.47,320.94,1.07,0,4.28,0,7.49,0,12.84,0,47.07,51073.97,50.28,414.01,6.42,9.63,2307.54,1002.39,7.49,10.7,394.75,4.28,0,166.89,3.21,10.7,24.61,0,1.07
21Day,2.68,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,1.34,0,1.34,4.02,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0.32,2.24,0,0,0.32,0,0.64,0,3.84,0.32,0.32,0.64,0,0.32,0.64,0,0,0.32,0,0,0,0,0,0.32,8.32,0,0,0,0,0.96,0.96
22Month,0,0,1.09,0,0,0,0.55,0,0,11.48,0,0.55,0.55,0,0,0,1.09,0,0.55,0,0,0,0,0,0,13.67,0.55,0,0,0,0,0
