stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,8.17,0,0,0,0,0,0,0,12.26,0,0,28.6,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,1.07,0,1.07,2.14,1.07,0,0,0
21Day,1.34,1.34,0,0,2.68,2.68,0,0,0,4.02,0,0,0,1.34,0,0,0
3Month,0,0.64,0.32,0,0.32,0,0,0.32,0.64,0.32,0.32,0.32,0,0,0.96,0.32,0.32
22Month,0,0,0,1.09,3.83,0,0.55,0,0,1.09,0,0,0,0,1.64,0,0
