stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,8.17,8.17,0,4.09,12.26,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,3.21,0,0,0,0,1.07,0
21Day,0,9.37,1.34,0,0,0,1.34,2.68,4.02,1.34,2.68,1.34,0,1.34,0,1.34,1.34,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0.32,0,0.32
22Month,0,0,0,0,0.55,1.64,2.19,0,0,0,0,0,0.55,0,0,0,0,0,0,0
