stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,36.78,4.09,0,0,0,0,0,0,0,0,0,0,4.09,20.43,16.35,77.64,0,0,12.26,723.29,0,20.43,0,0,0,0,8.17,0,0
72hpf,3.21,3.21,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,3.21,6.42,0,13.91,0,1.07,41.72,105.91,0,5.35,0,0,5.35,0,0,0,0
21Day,5.35,0,0,6.69,21.42,0,5.35,0,0,0,0,0,0,2.68,0,1.34,1.34,2.68,18.74,0,1.34,10.71,40.16,4.02,6.69,2.68,0,6.69,1.34,0,0,4.02
3Month,0,0.32,0,2.88,0,0,0,0.32,0.96,0.32,0,7.04,1.28,0.32,1.28,0,1.28,1.92,2.56,0,0.32,0.64,0,0,0,0.64,10.88,0,0,0,2.56,1.28
22Month,0.55,0.55,0.55,1.64,0,1.64,0,0,0.55,4.37,0.55,30.07,3.83,1.09,6.01,0,1.09,2.73,3.83,1.64,1.09,0,0.55,0,0,0,2.19,1.09,0,0,0,0.55
