stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,36.78,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,1.07,0,3.21,0,0,14.98,17.12,1.07,5.35,0,0,0
21Day,4.02,5.35,1.34,0,0,1.34,0,1.34,2.68,0,9.37,0,2.68,10.71,2.68,0,2.68,0,1.34,1.34
3Month,0.96,0,0,0,0.32,0.32,0.32,0,0.96,0,0,0.32,0,0.32,0,0,0,0.96,0,0
22Month,0.55,0,0,0.55,5.47,0,1.09,0,0.55,0.55,1.09,0,0.55,0,0,0,0,1.09,0,0
