stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,0,0,4.09,28.6,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,1.07,3.21,3.21,0,0,1.07,35.3,9.63,0,4.28,0,0,0,0
21Day,0,4.02,1.34,0,0,0,0,0,0,0,2.68,0,1.34,0,4.02,0,0,2.68,1.34,1.34,0,0
3Month,0,0.96,0,0.32,0,0.64,0.32,0.64,0,0,0.96,0.64,0,0,0,0,0.32,0,0,27.52,0.32,22.4
22Month,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,2.73,0,0
