stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,1.07,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,2.68,4.02,1.34,1.34,1.34,2.68,0,0,1.34,1.34
3Month,0,0,4.8,0,1.28,0,0,1.92,0.32,3.2,0.32,0.96,0.64,0.32,0.64,0,0,0,0,0.32,0.96
22Month,0.55,0.55,3.83,0.55,0.55,1.64,1.09,6.01,0,6.01,0.55,0.55,3.83,1.64,0.55,0,0,0.55,0,0,1.09
