stage,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,4.09,0
72hpf,0,0,0,1.07,1.07
21Day,1.34,0,1.34,0,0
3Month,0,0.32,2.24,0,0
