stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,28.6,0,12.26,0,24.52,0
72hpf,0,0,0,1.07,1.07,1.07
21Day,0,1.34,0,0,0,0
