stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,12.84,2.14,0,0,0,0,0
21Day,0,2.68,0,0,0,1.34,1.34,1.34,14.72,0,0,0,0,4.02,2.68
3Month,0,0,0,0,0,1.28,0.32,0.32,0.32,0,0,0.32,0,0,0
22Month,1.64,0,0.55,0.55,0.55,6.56,0,1.09,4.92,0,0.55,0,8.2,0,0
