stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,77.64,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0
72hpf,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,6.42,0,3.21,1.07,1.07,2.14,0,0,1.07,2.14,0,0,0,0,0
21Day,1.34,0,1.34,6.69,0,0,0,0,0,0,1.34,0,14.72,0,0,2.68,1.34,1.34,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,9.37
3Month,0,0.96,0,53.75,0,0,1.92,2.24,8.96,0,7.36,16.96,2.88,1.92,0.64,22.08,15.68,4.16,0.32,0,0.64,0,0,0.64,0,0,0.96,8.64,0,0.64,1.92,14.08
22Month,0.55,2.19,1.09,49.2,0,3.28,6.56,1.64,23.51,1.09,54.12,21.32,23.51,38.81,1.09,27.88,30.07,14.76,0,3.28,0,0,0.55,0.55,0.55,0.55,1.09,4.37,1.09,0.55,0,16.4
