stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,0,4.28,0,1.07,0,0,90.93,4.28,9.63,0,1.07,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,37.48,2.68,18.74,1.34,0,1.34,0,0,0,2.68,0,0,0
3Month,0,6.72,0,0,0.32,13.76,0.64,0.32,1.92,1.92,1.28,0.32,0.32,0.32,0,0.64,0,25.6,0,0,0.96,0.32,0.32,0,0,0.32,0.32,0.32
22Month,0,21.32,0,0.55,0,13.67,0,0,1.09,0,0.55,0.55,0.55,0,0.55,1.09,0.55,12.03,0.55,0,0,0,0,0.55,0,0,0,1.09
