stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,16.05,7.49,0,0,0,0,0,0,1.07,0,0,0
21Day,4.02,0,0,5.35,2.68,1.34,1.34,0,0,0,0,0,0,4.02,4.02,1.34,2.68,1.34,4.02,1.34,0,0,5.35,1.34,0,5.35,1.34,0,0,2.68,0,0,0,2.68
3Month,0,0.64,0.32,4.8,0.64,0,0.32,0.32,1.28,0,0,7.36,0.96,0,1.6,0,1.92,0.64,1.92,0,0.32,0.64,0,0,0.32,0,0.32,0,1.92,0,0.32,0.64,0.32,0.64
22Month,0.55,2.19,0,2.19,0,0,0,1.64,0,0.55,0,21.87,0.55,0.55,4.37,0,0.55,1.09,2.19,0.55,0,0,0.55,0.55,0,0.55,0,0.55,0.55,0,0,0,0,0.55
