stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,8.17,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,93.99,0,0,0,4.09,57.21,694.69,0,0,0,8.17,0,0,0,0,0,4.09,0,0
72hpf,16.05,2.14,4.28,3.21,2.14,0,0,0,0,0,0,0,2.14,5.35,3.21,31.02,0,1.07,0,0,380.85,124.1,1.07,7.49,0,12.84,1.07,0,18.19,1.07,0,0,0,0
21Day,5.35,0,6.69,0,1.34,2.68,0,0,0,0,0,0,5.35,2.68,0,22.76,0,0,2.68,0,123.15,46.85,0,2.68,0,2.68,1.34,1.34,2.68,1.34,1.34,1.34,0,1.34
3Month,0,0,1.6,0,0,0,0.32,0,0.32,0.64,0,1.6,0.32,0.64,0.96,1.28,0.64,0,0,0,1.28,0.32,0,0,0,0,0,24.32,0,0,0,0,6.08,0.64
22Month,0,0,0,0,0,0,0,0.55,8.2,1.09,0.55,0.55,0.55,1.09,11.48,0.55,1.09,0,0,0,1.64,0.55,1.64,1.64,1.09,0,0,1.64,1.09,0,0,0,0,0
