stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,8.17,0,106.25,4.09,4.09,0,0,0,0,0,0,0,0,0,8.17,57.21,65.38,122.59,0,0,4.09,24.52,408.64,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0
72hpf,6.42,13.91,1.07,24.61,6.42,39.58,0,1.07,0,1.07,0,1.07,0,1.07,0,26.74,62.05,3.21,35.3,7.49,1.07,3.21,53.49,69.54,5.35,0,36.37,2.14,0,0,6.42,4.28,1.07,1.07,0,0,0
21Day,18.74,5.35,5.35,159.29,9.37,188.73,0,57.56,4.02,9.37,1.34,6.69,1.34,61.57,10.71,16.06,60.23,25.43,60.23,0,10.71,1.34,17.4,64.25,9.37,1.34,24.09,9.37,0,1.34,20.08,1.34,2.68,4.02,0,0,21.42
3Month,0,1.6,0,44.79,0,0,0.64,2.88,8.32,21.76,0,24.64,10.88,1.92,9.6,3.2,15.68,9.28,3.52,0,1.6,4.16,2.88,0,8.96,0,0.64,2.88,0.32,22.08,0,0,0,0,2.88,255.32,16
22Month,0,4.37,1.09,16.4,0,0,2.73,1.64,4.37,26.79,3.28,52.48,2.19,3.28,14.21,1.64,1.64,15.85,3.28,1.09,0.55,0,0,0,6.01,0,0,0.55,0,3.83,0,0,0,0,0,1.09,8.75
