stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,4.09,4.09,4.09,0,0,8.17,81.73,0,0,4.09,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,4.28,0,0,37.44,24.61,0,1.07,0,0,0,1.07,1.07,0,0,0,0
21Day,0,1.34,0,12.05,1.34,6.69,0,0,0,0,1.34,2.68,0,2.68,2.68,2.68,5.35,0,0,22.76,6.69,0,0,1.34,0,0,0,1.34,2.68,0,0,0
3Month,0,0.32,0.32,5.76,0,0,1.92,1.28,0,11.2,0.64,0,3.2,0.32,0.32,3.2,2.24,0.32,0.32,1.28,0,1.6,0,0,0.64,13.12,0,0,0,0,2.24,0.64
22Month,0,0,0,0.55,0,0,0,0,0,12.03,0,0.55,2.19,0,0,0.55,1.09,0,0,0,0,0.55,0,0,0,2.19,0,0,0,0,0,0
