stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,3.21,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,2.68,0,1.34,0,0,6.69,0,0,0,0,6.69,1.34,2.68,0,0,8.03,2.68,0,0,14.72,0,0,0,1.34,1.34,0,0,0
3Month,0,0.32,0.32,11.2,0,0.64,0,0.96,0,160.61,1.6,0,1.28,1.28,0.32,0,1.6,0.32,1.28,0,3.52,0.96,0,0,3.2,0.64,0.64,0,0.32,0.32,0.64,1.92
22Month,0,0,0.55,18.04,0,0.55,1.64,1.64,1.09,268.41,0,2.19,2.73,0.55,0,2.19,2.19,1.64,0,0,1.64,0.55,1.09,0,0,0.55,1.64,0,0,0,0,0.55
