stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,53.12,0,0,16.35,0,0,0,0,0,24.52,28.6,81.73,4.09,12.26,343.26,8.17,0,0,0,4.09,0,0
72hpf,1.07,0,2.14,6.42,1.07,0,0,0,0,0,4.28,12.84,0,11.77,0,10.7,28.88,3.21,1.07,1.07,1.07,1.07,0,0
21Day,2.68,1.34,5.35,16.06,1.34,0,0,0,2.68,0,1.34,1.34,0,8.03,0,4.02,13.39,0,4.02,0,0,1.34,0,0
3Month,0,0,0,0,0,0,9.28,0.96,0,0.64,0,0.32,0.32,0.64,0.32,0,0,0,0.32,3.52,0,0,1.28,0.96
22Month,0,0,0,0,0,0,0,0,0.55,0.55,0,0,1.09,1.09,0,0,0,0,0,0.55,0,0,0,0
