stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,8.17,0,32.69,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,118.51,0,0,0,49.04,453.59,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,17.12,7.49,0,32.09,2.14,5.35,0,0,0,0,1.07,0,0,0,0,3.21,71.68,1.07,97.35,0,1.07,0,54.56,70.61,0,2.14,99.49,1.07,0,26.74,0,0,1.07,0,0,0
21Day,28.11,2.68,1.34,124.48,5.35,5.35,1.34,0,0,1.34,0,2.68,0,10.71,4.02,2.68,68.27,13.39,168.66,0,4.02,0,46.85,33.46,0,12.05,37.48,10.71,0,24.09,4.02,10.71,2.68,0,0,16.06
3Month,0.32,1.28,0.64,41.27,0.64,0,0.32,0.32,0.64,4.48,0,8.64,2.24,0.96,2.56,0.96,28.8,2.56,40.63,16.32,2.88,0.64,0,0.64,0.32,1.28,0,0.96,2.24,0.32,0,0,0,0.32,0.96,8.32
22Month,0.55,2.19,1.09,5.47,1.09,0,0,0,0.55,5.47,0,24.6,1.09,1.64,1.64,0,4.92,8.75,31.16,0.55,1.09,0,0,0.55,0,1.64,0,0,0,1.09,0,0,0,0.55,0,1.64
