stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,7.49,0,0,7.49,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,101.63,0,0,0,0,0
21Day,2.68,0,2.68,1.34,6.69,0,0,0,1.34,0,1.34,0,1.34,0,1.34,0,0,1.34,82.99,1.34,1.34,1.34,0,2.68
3Month,0,0.32,1.6,0,0,0.64,0,0,0.32,0,0,0.64,0.32,0.32,1.28,0.32,0,0.64,2.56,0,0.32,0,0.32,0.32
22Month,0.55,0,1.09,0,0,1.64,0.55,0.55,4.92,0.55,0,0,0.55,0,0.55,0.55,0.55,0,2.19,0,1.64,0,0,0.55
