stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,80.23,5.35,0,1.07,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,5.35,2.68,1.34,1.34,0,0,0,0,0,1.34,1.34,0,1.34,0,4.02,0,0,1.34,113.78,5.35,0,2.68,0,4.02,5.35,0,0,18.74,64.25,1.34,0,0,1.34
3Month,0.32,0.32,0,3.2,0,0,0,0,0.96,0,7.68,0.96,0,1.6,0.96,0.64,0.64,1.28,0.32,0,0.32,9.28,0,0.64,0,0,0,0,6.4,0.32,0.64,0.32,0.64,0.96,76.79,1.92
22Month,0,1.09,1.09,4.37,1.64,0,0.55,0.55,2.19,2.19,35.53,1.09,0,2.73,0,0,1.64,3.28,0.55,1.64,0,13.67,0,1.09,0,0.55,0,0,3.83,2.19,33.35,0,0,0,1.64,0
