stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,1.07,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,0,0,0,0,1.34,0,8.03,0,0,0,0,5.35,0,0,0,2.68,0,0,0,1.34,0,0,0,1.34,0,0,74.96
3Month,2.88,0,0,0.32,0,0.64,0,4.48,0.96,1.6,1.28,0.32,0,1.6,0.96,0.32,0,0,0,0,0.64,0,0.32,0.96,0,0,0,0,3.52,50.87
22Month,3.28,0,1.09,0,0.55,1.64,1.09,280.43,1.09,1.09,2.19,0.55,0.55,3.28,2.19,0,8.2,0.55,0.55,0,0,0.55,1.09,1.64,1.09,0.55,0,1.09,0,35.53
