stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,1201.4,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,34.23,1.07,3.21,0,0,0,0,2.14,533.83,0,10.7,0,29.95,7.49,0,3.21,0,1.07,1.07,0,1.07,0,0,0
21Day,1.34,1.34,153.93,0,8.03,4.02,0,1.34,0,1.34,278.41,0,8.03,0,6.69,2.68,1.34,6.69,4.02,1.34,0,9.37,1.34,0,0,0
3Month,0,0.32,48.95,0,0,0,0.32,0,0.32,1.28,1.92,0.32,0.32,0.64,0,0,0,0,0,0,0,0,0,0.32,0.64,0.64
