stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Osteoblast
72hpf,0,0,0,0,0,1.07,1.07
21Day,0,1.34,0,0,1.34,0,0
3Month,0.32,0.32,0,1.6,0,0,0
22Month,0.55,0,4.37,1.64,0,0,0
