stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,12.26,0,0,0,28.6,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,7.49,0,1.07,0,23.54,12.84,0,0,0,5.35,0,0,2.14,0,0,0
21Day,1.34,2.68,1.34,0,8.03,0,9.37,0,1.34,0,0,0,16.06,0,2.68,1.34,6.69,30.79,0,2.68,0,12.05,4.02,1.34,2.68,0,9.37,5.35,0,0,0,0,8.03
3Month,0,1.28,13.76,0.32,0,0.32,2.56,1.6,11.84,0,10.56,12.48,5.12,1.92,0.96,6.4,19.2,19.52,1.92,7.04,0.64,1.28,0,1.6,2.56,0,0.64,1.92,15.68,0.32,15.68,351.3,51.51
22Month,0,0.55,6.56,0,0,1.09,0.55,2.73,12.03,0.55,12.03,6.01,4.92,0.55,0,0.55,11.48,7.65,1.09,5.47,0,1.64,0,1.64,2.73,0.55,0,0,8.2,0,1.09,3.28,12.03
