stage,Cardiomyocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,2.14,0,0,0,0,1.07,1.07,0,123.03,2.14,4.28,0,0,2.14,0
21Day,0,0,0,0,0,0,0,0,33.46,0,0,1.34,0,0,1.34
3Month,0,0.32,0.32,0.32,0.32,0,0,0,0,0,0,0,1.28,0,0
22Month,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0.55,0,0
