stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,7.49,0,0,0,0,0,0,0,1.07,1.07,0,0,1.07,0
21Day,0,0,6.69,1.34,0,0,1.34,0,0,2.68,0,0,1.34,0,0,0
3Month,2.56,0.32,0,0,0.32,4.16,0.32,0.32,0.32,0,0,0,0,1.6,0,0.32
