stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,71.68,2.14,0,3.21,0,0,1.07,0,0
21Day,0,1.34,1.34,0,0,0,0,1.34,0,1.34,0,8.03,80.31,0,0,0,1.34,0,1.34,0,1.34
3Month,1.28,0,0,0,0.64,0.32,0.32,0.64,0,0.96,1.92,4.48,16.32,0,0.64,0,0,6.08,0.32,0.32,0.96
22Month,2.19,0,0,0.55,0.55,7.11,0,2.73,0.55,1.09,2.19,1.64,4.92,0,0,0,0,6.56,0,0,0
