stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,4.28,2.14,0,0,0,0,0,0,0,0,0,2.14,1.07,0,125.17,14.98,2.14,2.14,0,0,10.7,0,0,0,0,0
21Day,1.34,1.34,10.71,0,14.72,0,1.34,0,5.35,6.69,1.34,0,2.68,1.34,10.71,0,1.34,207.47,9.37,1.34,4.02,5.35,0,5.35,2.68,1.34,0,0,2.68
3Month,0,0.96,3.52,0,0,0,0,0,4.16,0,6.4,0.32,2.24,0.96,0.96,0,0,1.28,0.32,0.64,0,0.32,1.92,0,0,0,0.32,0.96,0
22Month,0,2.19,5.47,1.09,0,3.28,0.55,0.55,11.48,0,38.81,0.55,0,0,0.55,0.55,0,3.83,3.28,5.47,0,0,1.09,4.92,0,0,0.55,0,1.09
