stage,Epithelial_cell,Erythrocyte,Fibroblast,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Osteoblast,Pancreatic_cell,Spermatocyte
72hpf,4.28,0,0,0,5.35,0,0,0,0,0
21Day,10.71,1.34,0,0,2.68,0,1.34,1.34,1.34,0
3Month,17.28,0,0.32,0.64,0.64,0.32,0,0,0,0.32
