stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0
21Day,2.68,2.68,0,0,0,1.34,1.34,0,2.68,0,1.34,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,0,0.96,0.32,0,0.64,0.32,0.32,0,0,0,0,0.64,0.64,0.32,0.32
22Month,0,1.09,0,0.55,4.92,0.55,0.55,1.09,0,0.55,0,1.09,0,0,0,0.55,0,0
