stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,5.35,0,0,0,0,0,0,0,0,0,0,0,10.7,0,154.05,9.63,1.07,20.33,52.42,0,0,6.42,0,0,66.33,0,0
21Day,6.69,2.68,1.34,4.02,4.02,0,0,0,0,0,0,2.68,2.68,0,2.68,1.34,12.05,0,103.07,5.35,0,143.22,18.74,1.34,0,4.02,1.34,1.34,4.02,0,1.34
3Month,0,0,0,2.24,0,0.32,1.92,0.32,0.32,1.92,0.32,0,1.28,0.96,0.64,0.32,0,0.32,0,0.32,0,30.72,0,0.32,0.96,1.28,0,0,0,0.64,0.96
22Month,0.55,0,0,1.64,0,0.55,0,0,10.39,9.84,0.55,0.55,3.28,1.64,0,1.09,15.31,0,1.64,0,0,12.57,0,0,0.55,32.25,0.55,0,0,0,1.64
