stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0
3Month,2.56,0.64,1.28,0,3.84,0.32,0.32,0.64,0.32,1.92,0,1.28,0.64,0.96,0,0.32,0.32,72.95,0.64,40.95
22Month,0,0,0,0.55,5.47,0,0,0,0,0,1.09,0.55,0,0,0,0,0,2.73,0,0
