stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,559.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,1126.49,1.07,5.35,0,9.63,0,0,0,0,0,0,0,1.07,10.7,0,6.42,0,1.07,1.07,26.74,19.26,0,0,7.49,1.07,1.07,1.07,0,0
21Day,580.92,0,14.72,1.34,12.05,1.34,0,0,5.35,0,2.68,0,2.68,9.37,0,21.42,0,0,4.02,14.72,4.02,0,0,12.05,5.35,0,1.34,4.02,2.68
3Month,7.68,0.96,3.84,0,0,0,0.32,0.64,8,1.28,0.32,0,0.32,0.64,0.96,5.76,1.28,0,0.32,0.32,0.32,0.32,0,0,0.32,3.52,0,0,0.96
22Month,7.11,1.64,4.92,0,0,0,0.55,1.64,67.79,2.19,2.19,2.73,0,0.55,1.09,12.57,1.64,0,1.64,1.09,1.64,0,0.55,0,0.55,4.37,0.55,0,1.64
