stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,4.02,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,8.32,64.63,0,0.96,0.32,53.11,13.44,11.52,65.91,1.92,143.66,2.56,17.92,32.31,2.56,0.64,0,21.76,0.96,0.32,0.64,0.32,1.28,0.64,1.6,0.96,1.92,14.4
22Month,0.55,5.47,29.52,0,0,0,45.92,55.76,14.21,15.31,7.11,160.72,0.55,3.28,22.96,1.64,0,0.55,10.39,0,0,2.19,0.55,0,0,0,0.55,0,12.57
