stage,Hepatocyte,Ionocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,44.93,1.07,0,0,1.07,0,0,0
21Day,0,0,20.08,2.68,0,1.34,0,1.34,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0.32
22Month,6.01,0,0,0,0.55,0.55,0,0,0.55,0
