stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Neural_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.14,0,0
21Day,0,1.34,1.34,0,8.03,0,0,1.34,1.34
3Month,0,0.32,0,0.32,0,0.32,0,0,4.48
