stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,3.21,0,0,0,0,0,0,4.28,4.28,0,6.42,0,0,0,0,41.72,17.12,0,0,18.19,0,0,0,0,0,0,0,0
21Day,1.34,1.34,8.03,4.02,0,0,0,0,1.34,1.34,0,4.02,1.34,18.74,0,0,1.34,0,10.71,8.03,0,0,8.03,8.03,0,1.34,2.68,6.69,1.34,0,0
3Month,0,0.32,2.56,0,0.32,1.28,0,3.84,0.64,1.6,0,1.6,0.32,0.32,0.64,0,0.64,0.32,0,0,0,0,0,0,0.96,0,0,0,0,2.24,0.64
22Month,0,1.09,2.73,0,0,0.55,0.55,13.67,0,0.55,0.55,0,0,1.09,0,0.55,0,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0.55
