stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,8.17,73.56,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,2.14,0,0,0,0,0,1.07,0,2.14,2.14,2.14,9.63,0,0,0,0,427.92,40.65,0,0,18.19,0,0,1.07,0,1.07,0,0,0
21Day,0,5.35,0,2.68,0,0,0,0,0,16.06,0,0,1.34,0,0,0,0,1.34,0,20.08,2.68,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,4.16,0.96,0,1.92,0.32,0.32,5.44,0.64,0.64,0.64,0.96,0.32,0,0.64,0.32,0.32,0.32,0.32,0,0.32,8,0.64,0,0.96,89.59,0,0,0,0.32,36.79,3.84
22Month,0,1.09,0.55,0,1.09,2.73,0.55,18.04,2.19,0,2.19,0,0.55,2.73,1.09,0,0,0,0,2.19,0.55,9.29,0,0,0,16.95,0.55,0.55,0,0,0,0
