stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,130.76,0,0,0,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,1.07,152.98,9.63,2.14,2.14,0,0,0,5.35,18.19,2.14,0,0,3.21,0,0,1.07,0,0,0,0
21Day,1.34,0,2.68,21.42,1.34,4.02,0,0,0,1.34,0,0,0,0,0,1.34,152.59,5.35,0,0,0,0,0,0,1.34,2.68,0,0,2.68,4.02,4.02,0,1.34,0,0,1.34
3Month,0.64,0.32,0.96,108.14,0,0,0.96,0.32,0.32,27.2,1.92,0,9.92,1.92,0.32,4.48,165.09,4.8,1.92,2.88,1.92,0.32,0.32,3.52,3.84,0.32,4.48,0,0.32,0.96,26.88,0,0,1.92,18.24,3.52
22Month,1.09,0.55,34.99,126.82,0,0,0,0,0,31.71,2.73,0.55,19.68,2.19,0,6.56,71.07,0,3.28,6.56,0,1.09,0,0,1.09,0,2.19,2.19,1.09,0.55,37.72,0,0,0,1.09,1.64
