stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,2.14,2.14,0,0,0,2.14,0
21Day,0,1.34,0,0,0,0,0,0,0,6.69,0,0,1.34,0,4.02,0,2.68,0,1.34,0,1.34
3Month,0.32,8.96,0,0.32,0.32,0,0.96,0,1.28,13.76,0.64,0.96,0.32,0.32,0,0,0,0.32,0.32,0,0
22Month,2.19,5.47,0.55,0,0,4.37,7.65,0.55,0,4.37,0.55,1.64,0.55,0,0,0,0,0,0,0,0
