stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,49.04,0,0,8.17,0
72hpf,0,0,6.42,1.07,0,0,0,0,0,8.56,0,9.63,0,5.35,6.42,10.7,0,0,0
21Day,2.68,1.34,60.23,0,0,0,1.34,1.34,1.34,18.74,1.34,14.72,2.68,6.69,4.02,2.68,1.34,0,1.34
3Month,0,0,2.88,0,0.32,0.32,0,0.32,0,0.64,0,0.32,0.32,0,0,0,0,0,0
22Month,0,1.09,0.55,0,0,2.73,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0
