stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,1.07,2.14,0,0,0,0
21Day,0,0,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.64,0.64,1.6,0.32,0.32,0,0.32,0,0.32,15.68,19.52
22Month,0.55,0,0,0.55,0,0,0,0,0,0,1.09,0
