stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,36.78,118.51,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,4.28,0,4.28,0,0,0,0,0,0,0,1.07,10.7,2.14,16.05,0,1.07,2.14,525.27,42.79,0,0,0,11.77,1.07,0,6.42,0,0,2.14,0,0
21Day,10.71,0,1.34,5.35,2.68,8.03,6.69,0,0,0,0,5.35,0,1.34,1.34,1.34,41.49,0,0,4.02,238.26,20.08,0,5.35,0,14.72,10.71,0,1.34,2.68,4.02,1.34,0,1.34
3Month,0,0,0,1.28,0,0,0.32,0.96,0,1.6,0.96,0,0,0.32,0.32,0.32,0.64,0.64,0,0,0,0,0.32,0,0,0,0,2.24,0,0,0,0,0.32,0
22Month,1.09,1.09,0.55,4.37,0.55,0,0.55,2.73,1.09,26.24,1.09,2.73,2.73,0.55,0.55,3.83,5.47,0.55,0.55,0.55,0.55,0.55,0.55,1.64,0.55,0,0,0,0,0.55,0,0,0,0
