stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,28.6,0,0,0,16.35,0,0,4.09,2051.38,151.2,16.35,0,20.43,126.68,0,8.17,0,0,0,4.09,0,0
72hpf,13.91,3.21,93.07,6.42,27.81,0,0,0,0,7.49,4589.4,2.14,33.16,0,176.52,85.58,4.28,31.02,0,6.42,1.07,1.07,0,0
21Day,0,0,6.69,0,0,0,0,0,0,1.34,37.48,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,11.52,0,0,0.32,0,0.96,0.32,0,0,0.32,0,0.64,0.32,0,0,0,0.64,0,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
