stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,4.02,1.34,0,0,0,0,0,0,0,1.34,1.34,2.68,0,2.68,0,0,0,0
3Month,2.56,0,0.32,0.32,1.92,4.48,0.32,0,1.6,1.28,2.24,0.32,0,0,0,0,0.64,0.96
22Month,1.64,0,0,0,2.19,9.29,0,0.55,1.09,1.09,0,0,0.55,0,0,0.55,0,0
