stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,40.86,0,0,0,0,0,0,0,4.09,0,4.09,8.17,24.52,44.95,28.6,588.44,4.09,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,0,0,0,0,0,0,1.07,0,2.14,6.42,0,16.05,16.05,35.3,3.21,0,1.07,4.28,1.07,0,0,0
21Day,2.68,0,1.34,5.35,0,1.34,0,0,0,0,2.68,0,0,2.68,0,6.69,5.35,10.71,0,1.34,0,1.34,0,0,0,1.34
3Month,0,0,0.96,0,0,0,0,0,0.64,0.64,0,0.96,0.32,0,0.32,0,0.32,0,0,0,3.52,0,0,0.32,0.32,0.32
22Month,0,0,0,0,0.55,0,1.09,0.55,1.09,0,0,0.55,0,0,0,2.73,0,0,0,0,0.55,0,0,0,0,0.55
