stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,4.28,0,0,4.28,0,2.14,0
21Day,5.35,1.34,0,1.34,0,0,0,5.35,1.34,2.68,0,0,0,0
3Month,0,0,0.64,0,0,0,0.64,0.32,0,0,0,0.32,0,0.64
22Month,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0,0,0
