stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,32.69,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,0,0,18.19,2.14,0,3.21,0,0,2.14,1.07,0,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,0,0,0,0,2.68,0,0,2.68,2.68,1.34,0,0,1.34,0,14.72,2.68,0,4.02,0,0,4.02,1.34,0,0,0,2.68
3Month,0,1.28,2.56,0,0.32,0,0.32,8.96,0,4.48,1.92,0.64,0.32,0.32,0.32,0.64,0.96,0.32,0,0,0.32,0,0,0.96,0.32,0.64,4.16,0,0,0.64,0.32,1.6,1.6
22Month,1.09,2.73,1.09,0,1.09,0,0.55,12.57,0.55,27.88,3.83,1.09,2.19,0,0.55,2.73,2.19,0.55,0.55,0,0.55,0,0.55,0.55,0,0,2.19,0,0,0,0,0,0.55
