stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Smooth_muscle_cell
3Month,1.6,1.28,0.32,0.64,0.64,0.64,0.32,0.32,14.4
22Month,0,0.55,0,0,0,0,0,0,1.09
