stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,0,0,2.14,1.07,3.21,1.07
21Day,1.34,0,6.69,0,4.02,0
22Month,0,0.55,0,0,0,0
