stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,0,2.14,0,1.07,2.14,0,2.14,0,0,0
21Day,0,0,9.37,1.34,1.34,1.34,0,0,8.03,16.06,0,5.35,1.34,2.68,1.34,1.34,2.68,0,0,12.05
3Month,0,0.32,1.28,0,0.32,2.24,0,1.6,9.6,0,0.32,0.64,0,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0,0,0,2.19,0.55,2.19,1.64,0,0,0.55,0.55,0,0,0,0,0,0,0
