stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Primordial_germ_cell,Spermatocyte
21Day,1.34,0,0,0,0,1.34,0,0
3Month,0,0.32,0.64,0.32,0.32,0,2.56,1.28
22Month,0,0,4.37,0,0.55,0,0.55,0
