stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,32.69,16.35,0,0,0,0,0,155.28,4.09,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,3.21,0,0,0,0,0,0,0,0,4.28,6.42,0,3.21,0,1.07,0,63.12,23.54,14.98,0,0,4.28,0,0,8.56,0,0,0,0
21Day,2.68,1.34,6.69,18.74,2.68,0,0,0,0,0,0,0,91.02,0,8.03,1.34,13.39,0,0,1.34,9.37,8.03,5.35,0,0,4.02,6.69,1.34,4.02,0,0,0,0
3Month,0.64,1.6,4.48,27.84,0,1.28,10.24,1.92,0,45.75,4.16,0.32,369.54,2.88,6.08,1.6,5.76,1.6,0,0.96,118.38,1.28,0,0.96,0.64,0.32,3.84,24.64,0.32,0.32,1.92,2.24,2.24
22Month,0,1.64,4.37,8.75,0,1.64,6.56,3.83,2.73,50.29,0.55,0.55,400.15,0,0,3.28,4.37,0,1.09,1.64,10.39,0.55,0,1.64,0,0,1.64,11.48,0.55,0.55,0,0,1.64
