stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,65.38,0,0,8.17,0,0,0,0,0,0,0
72hpf,5.35,0,0,1.07,4.28,2.14,0,0,0,1.07,0,0,3.21,11.77,1.07,6.42,0,0,0,618.34,12.84,1.07,1.07,6.42,0,0,7.49,0,1.07,0,0
21Day,1.34,0,1.34,12.05,4.02,2.68,1.34,0,0,0,0,2.68,5.35,12.05,2.68,6.69,0,1.34,1.34,187.39,9.37,1.34,4.02,1.34,9.37,0,4.02,1.34,0,0,0
3Month,0,0,0,1.6,0,0,0,0,0,0.32,0.64,0.96,0.96,0,0.64,0.32,0.32,0,0,0.96,0.64,0.32,0,0,0,1.92,0,0,0,1.92,0.32
22Month,0,1.09,0,0.55,0,0,0,0.55,0,11.48,0.55,0.55,0,0,0,0.55,0.55,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
