stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,16.35,0,0,0,0,0,0,0,0,0,8.17,12.26,24.52,0,0,12.26,2329.25,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,3.21,2.14,0,0,0,0,1.07,0,0,2.14,0,8.56,0,0,33.16,66.33,4.28,5.35,0,0,71.68,0,0,0,0
21Day,0,0,17.4,0,4.02,0,0,0,0,0,0,0,4.02,0,14.72,0,0,9.37,18.74,0,9.37,0,0,9.37,2.68,0,0,0
3Month,0,0.32,19.84,0,0,0.64,0.64,2.88,0.32,0.32,0.32,1.28,2.88,0.32,5.12,2.56,0.32,0,0,0,0,0.32,1.6,0,0,1.28,0.32,0
22Month,0.55,0,3.83,0,0,0,0.55,2.73,0,0.55,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0.55
