stage,Hatching_gland,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,4.09,0,0,0
72hpf,0,1.07,1.07,1.07,0,0
21Day,0,2.68,0,1.34,2.68,1.34
22Month,0,0,0.55,0,0,0
