stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,6.42,1.07,0,0,0,0,0,0,0,0,0,0,4.28,9.63,0,4.28,0,0,0,0,93.07,16.05,0,0,1.07,0,0,3.21,8.56,2.14,1.07,0,0,0
21Day,8.03,1.34,16.06,18.74,0,1.34,0,0,0,0,1.34,0,1.34,1.34,1.34,4.02,0,36.14,0,0,1.34,0,303.85,8.03,2.68,0,4.02,20.08,0,4.02,50.86,235.58,10.71,0,0,4.02
3Month,0.64,0.32,21.44,0,0,0,0,2.88,0,0,4.48,1.28,0,4.8,1.92,17.6,1.6,12.8,3.2,0,0,0.32,11.52,0,0.96,0.96,0,1.92,58.55,3.52,2.56,0.32,1.28,0.32,2.24,0.96
22Month,1.09,1.09,13.12,0,0.55,0,1.09,3.28,15.85,0,33.35,0.55,1.09,4.37,3.83,2.19,6.01,8.2,1.64,0.55,0,0,50.29,0,2.73,1.09,0,0.55,41,22.96,185.86,0.55,1.64,0.55,0,1.09
