stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,50.28,1.07,0,1.07,2.14,0,0,0,0,0,0,0,0,0,3.21,2.14,0,4.28,0,0,1.07,0,0,0
21Day,22.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,1.34,1.34,0,0,0
3Month,7.04,0,0.64,0.64,0,0.32,0,0,2.56,0.64,0,6.08,0.96,0.64,0,0,1.28,0,0,2.88,0,0,2.24,0.32
22Month,8.75,0.55,2.73,0,0,4.92,2.19,0.55,12.03,0,0.55,4.92,1.09,3.83,0,0,6.01,0,0,20.23,0.55,1.64,0,0
