stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,1.07,0,0,0,0,0
21Day,0,0,0,5.35,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,1.34,0,0,2.68,1.34,0,0,0,0
3Month,0,5.12,0.32,18.24,0,0,0,0,0,0.96,0,10.24,1.28,0,1.6,0.64,3.84,4.48,10.56,2.24,0.32,3.2,0.64,0,0,0,0,0,0.64,0.32,0,0,0
22Month,1.09,28.43,1.09,31.71,0.55,0,2.19,0.55,2.73,6.01,2.19,446.07,4.37,0.55,4.92,0,3.28,9.84,17.49,0,23.51,0.55,0,0.55,0,0.55,0.55,0,0.55,0,0.55,0.55,1.64
