stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,8.17,445.42,16.35,0,0,0,0,0,0,0
72hpf,19.26,5.35,6.42,3.21,12.84,1.07,0,0,0,0,0,1.07,11.77,2.14,22.47,0,909.32,404.38,24.61,9.63,2.14,0,62.05,1.07,0,0
21Day,2.68,0,4.02,0,8.03,1.34,1.34,1.34,1.34,2.68,0,0,2.68,2.68,5.35,1.34,115.11,77.63,5.35,5.35,6.69,0,6.69,0,0,0
3Month,0.32,0,0,0,0,0,0,0.64,0,0.32,0,0,0,0,0.32,0,0.64,0.96,4.48,0,0,0.32,0,0,0,0.64
22Month,0,0,0,0,0,0,0,0,0.55,3.28,0.55,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0.55,0
