stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,4.09,0,0,0,0,0,28.6,0,0,0,0,106.25,0,0,12.26,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,195.77,1.07,0,7.49,1.07,1.07,0,0,0,0,0,0,0,0,32.09,11.77,0,6.42,0,8.56,0,18.19,16.05,0,5.35,0,0,1.07,2.14,0,0,0
21Day,116.45,0,0,5.35,0,2.68,0,0,0,0,4.02,0,1.34,4.02,2.68,2.68,0,13.39,0,1.34,0,6.69,6.69,0,9.37,2.68,0,1.34,0,0,0,0
3Month,4.8,0,0.64,25.6,1.28,0,21.12,1.92,3.2,0,3.52,0.96,0,2.24,3.52,7.04,1.28,10.24,1.28,0.96,0.32,0,0,2.24,0.32,0.32,6.72,0.32,1.28,0.64,2.24,1.6
22Month,1.09,0,0.55,3.28,0,0,7.11,0.55,1.09,0,8.2,0.55,0,1.64,1.09,0.55,0.55,2.19,0,0.55,0,0,0,3.28,0,0,9.29,0,0.55,0,0,0
