stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,4.09,0,0,4.09,0,0,8.17,0
72hpf,1.07,0,0,0,1.07,0,0,0
21Day,4.02,0,0,0,0,0,2.68,0
3Month,0.32,0.32,0.32,0,0,0,0,0.64
22Month,0,0.55,5.47,0,0,0.55,0,0
