stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,9.63,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,1.34,0,0,0,0,0,0,0,0
3Month,0,0.96,0.32,9.6,0,0.96,0,1.28,5.44,5.76,2.88,0.32,3.52,0.32,2.24,1.6,1.6,0.32,0.64,1.28,0,0,0.32,0.64,2.88,0,1.28,29.12,2.24
22Month,0,0,0,1.09,0,0,0.55,0.55,1.09,19.68,0.55,0,0.55,0,0,0.55,1.09,0.55,0,0,0.55,0.55,0,0,0.55,2.73,0,0,0
